ESC 2018,,,,,,
Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2018,f,2018f,T,Australia,Serbia,0
2018,f,2018f,T,Australia,Slovenia,0
2018,f,2018f,T,Australia,Spain,0
2018,f,2018f,T,Australia,Sweden,0
2018,f,2018f,T,Australia,Netherlands,0
2018,f,2018f,T,Australia,Ukraine,0
2018,f,2018f,T,Australia,United Kingdom,6
2018,f,2018f,T,Austria,Albania,2
2018,f,2018f,T,Austria,Australia,0
2018,f,2018f,T,Austria,Bulgaria,0
2018,f,2018f,T,Austria,Cyprus,1
2018,f,2018f,T,Austria,Czech Republic,12
2018,f,2018f,T,Austria,Denmark,5
2018,f,2018f,T,Austria,Estonia,0
2018,f,2018f,T,Austria,Finland,0
2018,f,2018f,T,Austria,France,0
2018,f,2018f,T,Austria,Germany,6
2018,f,2018f,T,Austria,Hungary,3
2018,f,2018f,T,Austria,Ireland,4
2018,f,2018f,T,Austria,Israel,7
2018,f,2018f,T,Austria,Italy,1
2018,f,2018f,T,Austria,Lithuania,0
2018,f,2018f,T,Austria,Moldova,0
2018,f,2018f,T,Austria,Norway,0
2018,f,2018f,T,Austria,Portugal,0
2018,f,2018f,T,Austria,Serbia,8
2018,f,2018f,T,Austria,Slovenia,0
2018,f,2018f,T,Austria,Spain,0
2018,f,2018f,T,Austria,Sweden,0
2018,f,2018f,T,Austria,Netherlands,0
2018,f,2018f,T,Austria,Ukraine,0
2018,f,2018f,T,Austria,United Kingdom,0
2018,f,2018f,T,Azerbaijan,Albania,0
2018,f,2018f,T,Azerbaijan,Australia,0
2018,f,2018f,T,Azerbaijan,Austria,0
2018,f,2018f,T,Azerbaijan,Bulgaria,1
2018,f,2018f,T,Azerbaijan,Cyprus,1
2018,f,2018f,T,Azerbaijan,Czech Republic,6
2018,f,2018f,T,Azerbaijan,Denmark,0
2018,f,2018f,T,Azerbaijan,Estonia,0
2018,f,2018f,T,Azerbaijan,Finland,0
2018,f,2018f,T,Azerbaijan,France,0
2018,f,2018f,T,Azerbaijan,Germany,3
2018,f,2018f,T,Azerbaijan,Hungary,0
2018,f,2018f,T,Azerbaijan,Ireland,0
2018,f,2018f,T,Azerbaijan,Israel,12
2018,f,2018f,T,Azerbaijan,Italy,5
2018,f,2018f,T,Azerbaijan,Lithuania,0
2018,f,2018f,T,Azerbaijan,Moldova,4
2018,f,2018f,T,Azerbaijan,Norway,7
2018,f,2018f,T,Azerbaijan,Portugal,0
2018,f,2018f,T,Azerbaijan,Serbia,0
2018,f,2018f,T,Azerbaijan,Slovenia,0
2018,f,2018f,T,Azerbaijan,Spain,0
2018,f,2018f,T,Azerbaijan,Sweden,2
2018,f,2018f,T,Azerbaijan,Netherlands,0
2018,f,2018f,T,Azerbaijan,Ukraine,8
2018,f,2018f,T,Azerbaijan,United Kingdom,0
2018,f,2018f,T,Belarus,Albania,0
2018,f,2018f,T,Belarus,Australia,0
2018,f,2018f,T,Belarus,Austria,0
2018,f,2018f,T,Belarus,Bulgaria,1
2018,f,2018f,T,Belarus,Cyprus,3
2018,f,2018f,T,Belarus,Czech Republic,5
2018,f,2018f,T,Belarus,Denmark,7
2018,f,2018f,T,Belarus,Estonia,0
2018,f,2018f,T,Belarus,Finland,0
2018,f,2018f,T,Belarus,France,0
2018,f,2018f,T,Belarus,Germany,0
2018,f,2018f,T,Belarus,Hungary,2
2018,f,2018f,T,Belarus,Ireland,0
2018,f,2018f,T,Belarus,Israel,8
2018,f,2018f,T,Belarus,Italy,4
2018,f,2018f,T,Belarus,Lithuania,0
2018,f,2018f,T,Belarus,Moldova,6
2018,f,2018f,T,Belarus,Norway,1
2018,f,2018f,T,Belarus,Portugal,0
2018,f,2018f,T,Belarus,Serbia,0
2018,f,2018f,T,Belarus,Slovenia,0
2018,f,2018f,T,Belarus,Spain,0
2018,f,2018f,T,Belarus,Sweden,0
2018,f,2018f,T,Belarus,Netherlands,0
2018,f,2018f,T,Belarus,Ukraine,12
2018,f,2018f,T,Belarus,United Kingdom,0
2018,f,2018f,T,Belgium,Albania,0
2018,f,2018f,T,Belgium,Australia,0
2018,f,2018f,T,Belgium,Austria,3
2018,f,2018f,T,Belgium,Bulgaria,0
2018,f,2018f,T,Belgium,Cyprus,7
2018,f,2018f,T,Belgium,Czech Republic,1
2018,f,2018f,T,Belgium,Denmark,5
2018,f,2018f,T,Belgium,Estonia,0
2018,f,2018f,T,Belgium,Finland,0
2018,f,2018f,T,Belgium,France,8
2018,f,2018f,T,Belgium,Germany,2
2018,f,2018f,T,Belgium,Hungary,0
2018,f,2018f,T,Belgium,Ireland,4
2018,f,2018f,T,Belgium,Israel,1
2018,f,2018f,T,Belgium,Italy,6
2018,f,2018f,T,Belgium,Lithuania,0
2018,f,2018f,T,Belgium,Moldova,0
2018,f,2018f,T,Belgium,Norway,0
2018,f,2018f,T,Belgium,Portugal,0
2018,f,2018f,T,Belgium,Serbia,0
2018,f,2018f,T,Belgium,Slovenia,0
2018,f,2018f,T,Belgium,Spain,0
2018,f,2018f,T,Belgium,Sweden,0
2018,f,2018f,T,Belgium,Netherlands,12
2018,f,2018f,T,Belgium,Ukraine,0
2018,f,2018f,T,Belgium,United Kingdom,0
2018,f,2018f,T,Bulgaria,Albania,0
2018,f,2018f,T,Bulgaria,Australia,0
2018,f,2018f,T,Bulgaria,Austria,4
2018,f,2018f,T,Bulgaria,Cyprus,12
2018,f,2018f,T,Bulgaria,Czech Republic,3
2018,f,2018f,T,Bulgaria,Denmark,0
2018,f,2018f,T,Bulgaria,Estonia,2
2018,f,2018f,T,Bulgaria,Finland,0
2018,f,2018f,T,Bulgaria,France,0
2018,f,2018f,T,Bulgaria,Germany,0
2018,f,2018f,T,Bulgaria,Hungary,5
2018,f,2018f,T,Bulgaria,Ireland,0
2018,f,2018f,T,Bulgaria,Israel,1
2018,f,2018f,T,Bulgaria,Italy,6
2018,f,2018f,T,Bulgaria,Lithuania,0
2018,f,2018f,T,Bulgaria,Moldova,8
2018,f,2018f,T,Bulgaria,Norway,0
2018,f,2018f,T,Bulgaria,Portugal,0
2018,f,2018f,T,Bulgaria,Serbia,7
2018,f,2018f,T,Bulgaria,Slovenia,0
2018,f,2018f,T,Bulgaria,Spain,0
2018,f,2018f,T,Bulgaria,Sweden,0
2018,f,2018f,T,Bulgaria,Netherlands,0
2018,f,2018f,T,Bulgaria,Ukraine,1
2018,f,2018f,T,Bulgaria,United Kingdom,0
2018,f,2018f,T,Croatia,Albania,4
2018,f,2018f,T,Croatia,Australia,0
2018,f,2018f,T,Croatia,Austria,0
2018,f,2018f,T,Croatia,Bulgaria,1
2018,f,2018f,T,Croatia,Cyprus,8
2018,f,2018f,T,Croatia,Czech Republic,5
2018,f,2018f,T,Croatia,Denmark,2
2018,f,2018f,T,Croatia,Estonia,0
2018,f,2018f,T,Croatia,Finland,0
2018,f,2018f,T,Croatia,France,0
2018,f,2018f,T,Croatia,Germany,3
2018,f,2018f,T,Croatia,Hungary,0
2018,f,2018f,T,Croatia,Ireland,0
2018,f,2018f,T,Croatia,Israel,6
2018,f,2018f,T,Croatia,Italy,1
2018,f,2018f,T,Croatia,Lithuania,0
2018,f,2018f,T,Croatia,Moldova,0
2018,f,2018f,T,Croatia,Norway,0
2018,f,2018f,T,Croatia,Portugal,0
2018,f,2018f,T,Croatia,Serbia,12
2018,f,2018f,T,Croatia,Slovenia,7
2018,f,2018f,T,Croatia,Spain,0
2018,f,2018f,T,Croatia,Sweden,0
2018,f,2018f,T,Croatia,Netherlands,0
2018,f,2018f,T,Croatia,Ukraine,0
2018,f,2018f,T,Croatia,United Kingdom,0
2018,f,2018f,T,Cyprus,Albania,0
2018,f,2018f,T,Cyprus,Australia,0
2018,f,2018f,T,Cyprus,Austria,0
2018,f,2018f,T,Cyprus,Bulgaria,12
2018,f,2018f,T,Cyprus,Czech Republic,8
2018,f,2018f,T,Cyprus,Denmark,0
2018,f,2018f,T,Cyprus,Estonia,4
2018,f,2018f,T,Cyprus,Finland,0
2018,f,2018f,T,Cyprus,France,1
2018,f,2018f,T,Cyprus,Germany,3
2018,f,2018f,T,Cyprus,Hungary,0
2018,f,2018f,T,Cyprus,Ireland,0
2018,f,2018f,T,Cyprus,Israel,1
2018,f,2018f,T,Cyprus,Italy,7
2018,f,2018f,T,Cyprus,Lithuania,6
2018,f,2018f,T,Cyprus,Moldova,0
2018,f,2018f,T,Cyprus,Norway,5
2018,f,2018f,T,Cyprus,Portugal,0
2018,f,2018f,T,Cyprus,Serbia,0
2018,f,2018f,T,Cyprus,Slovenia,0
2018,f,2018f,T,Cyprus,Spain,0
2018,f,2018f,T,Cyprus,Sweden,0
2018,f,2018f,T,Cyprus,Netherlands,0
2018,f,2018f,T,Cyprus,Ukraine,2
2018,f,2018f,T,Cyprus,United Kingdom,0
2018,f,2018f,T,Czech Republic,Albania,0
2018,f,2018f,T,Czech Republic,Australia,0
2018,f,2018f,T,Czech Republic,Austria,0
2018,f,2018f,T,Czech Republic,Bulgaria,1
2018,f,2018f,T,Czech Republic,Cyprus,8
2018,f,2018f,T,Czech Republic,Denmark,7
2018,f,2018f,T,Czech Republic,Estonia,5
2018,f,2018f,T,Czech Republic,Finland,0
2018,f,2018f,T,Czech Republic,France,0
2018,f,2018f,T,Czech Republic,Germany,3
2018,f,2018f,T,Czech Republic,Hungary,0
2018,f,2018f,T,Czech Republic,Ireland,4
2018,f,2018f,T,Czech Republic,Israel,1
2018,f,2018f,T,Czech Republic,Italy,2
2018,f,2018f,T,Czech Republic,Lithuania,0
2018,f,2018f,T,Czech Republic,Moldova,6
2018,f,2018f,T,Czech Republic,Norway,0
2018,f,2018f,T,Czech Republic,Portugal,0
2018,f,2018f,T,Czech Republic,Serbia,0
2018,f,2018f,T,Czech Republic,Slovenia,0
2018,f,2018f,T,Czech Republic,Spain,0
2018,f,2018f,T,Czech Republic,Sweden,0
2018,f,2018f,T,Czech Republic,Netherlands,0
2018,f,2018f,T,Czech Republic,Ukraine,12
2018,f,2018f,T,Czech Republic,United Kingdom,0
2018,f,2018f,T,Denmark,Albania,0
2018,f,2018f,T,Denmark,Australia,2
2018,f,2018f,T,Denmark,Austria,1
2018,f,2018f,T,Denmark,Bulgaria,0
2018,f,2018f,T,Denmark,Cyprus,1
2018,f,2018f,T,Denmark,Czech Republic,6
2018,f,2018f,T,Denmark,Estonia,0
2018,f,2018f,T,Denmark,Finland,0
2018,f,2018f,T,Denmark,France,0
2018,f,2018f,T,Denmark,Germany,12
2018,f,2018f,T,Denmark,Hungary,0
2018,f,2018f,T,Denmark,Ireland,4
2018,f,2018f,T,Denmark,Israel,0
2018,f,2018f,T,Denmark,Italy,0
2018,f,2018f,T,Denmark,Lithuania,0
2018,f,2018f,T,Denmark,Moldova,0
2018,f,2018f,T,Denmark,Norway,8
2018,f,2018f,T,Denmark,Portugal,0
2018,f,2018f,T,Denmark,Serbia,0
2018,f,2018f,T,Denmark,Slovenia,0
2018,f,2018f,T,Denmark,Spain,0
2018,f,2018f,T,Denmark,Sweden,7
2018,f,2018f,T,Denmark,Netherlands,5
2018,f,2018f,T,Denmark,Ukraine,0
2018,f,2018f,T,Denmark,United Kingdom,3
2018,f,2018f,T,Estonia,Albania,0
2018,f,2018f,T,Estonia,Australia,0
2018,f,2018f,T,Estonia,Austria,6
2018,f,2018f,T,Estonia,Bulgaria,0
2018,f,2018f,T,Estonia,Cyprus,4
2018,f,2018f,T,Estonia,Czech Republic,5
2018,f,2018f,T,Estonia,Denmark,8
2018,f,2018f,T,Estonia,Finland,1
2018,f,2018f,T,Estonia,France,0
2018,f,2018f,T,Estonia,Germany,0
2018,f,2018f,T,Estonia,Hungary,3
2018,f,2018f,T,Estonia,Ireland,0
2018,f,2018f,T,Estonia,Israel,0
2018,f,2018f,T,Estonia,Italy,7
2018,f,2018f,T,Estonia,Lithuania,12
2018,f,2018f,T,Estonia,Moldova,1
2018,f,2018f,T,Estonia,Norway,2
2018,f,2018f,T,Estonia,Portugal,0
2018,f,2018f,T,Estonia,Serbia,0
2018,f,2018f,T,Estonia,Slovenia,0
2018,f,2018f,T,Estonia,Spain,0
2018,f,2018f,T,Estonia,Sweden,0
2018,f,2018f,T,Estonia,Netherlands,0
2018,f,2018f,T,Estonia,Ukraine,0
2018,f,2018f,T,Estonia,United Kingdom,0
2018,f,2018f,T,Macedonia,Albania,12
2018,f,2018f,T,Macedonia,Australia,0
2018,f,2018f,T,Macedonia,Austria,0
2018,f,2018f,T,Macedonia,Bulgaria,7
2018,f,2018f,T,Macedonia,Cyprus,8
2018,f,2018f,T,Macedonia,Czech Republic,5
2018,f,2018f,T,Macedonia,Denmark,0
2018,f,2018f,T,Macedonia,Estonia,0
2018,f,2018f,T,Macedonia,Finland,0
2018,f,2018f,T,Macedonia,France,0
2018,f,2018f,T,Macedonia,Germany,0
2018,f,2018f,T,Macedonia,Hungary,0
2018,f,2018f,T,Macedonia,Ireland,0
2018,f,2018f,T,Macedonia,Israel,3
2018,f,2018f,T,Macedonia,Italy,6
2018,f,2018f,T,Macedonia,Lithuania,0
2018,f,2018f,T,Macedonia,Moldova,1
2018,f,2018f,T,Macedonia,Norway,0
2018,f,2018f,T,Macedonia,Portugal,0
2018,f,2018f,T,Macedonia,Serbia,1
2018,f,2018f,T,Macedonia,Slovenia,2
2018,f,2018f,T,Macedonia,Spain,0
2018,f,2018f,T,Macedonia,Sweden,0
2018,f,2018f,T,Macedonia,Netherlands,0
2018,f,2018f,T,Macedonia,Ukraine,4
2018,f,2018f,T,Macedonia,United Kingdom,0
2018,f,2018f,T,Finland,Albania,0
2018,f,2018f,T,Finland,Australia,0
2018,f,2018f,T,Finland,Austria,3
2018,f,2018f,T,Finland,Bulgaria,0
2018,f,2018f,T,Finland,Cyprus,1
2018,f,2018f,T,Finland,Czech Republic,5
2018,f,2018f,T,Finland,Denmark,1
2018,f,2018f,T,Finland,Estonia,12
2018,f,2018f,T,Finland,France,4
2018,f,2018f,T,Finland,Germany,0
2018,f,2018f,T,Finland,Hungary,8
2018,f,2018f,T,Finland,Ireland,0
2018,f,2018f,T,Finland,Israel,7
2018,f,2018f,T,Finland,Italy,6
2018,f,2018f,T,Finland,Lithuania,0
2018,f,2018f,T,Finland,Moldova,0
2018,f,2018f,T,Finland,Norway,0
2018,f,2018f,T,Finland,Portugal,0
2018,f,2018f,T,Finland,Serbia,0
2018,f,2018f,T,Finland,Slovenia,0
2018,f,2018f,T,Finland,Spain,0
2018,f,2018f,T,Finland,Sweden,0
2018,f,2018f,T,Finland,Netherlands,2
2018,f,2018f,T,Finland,Ukraine,0
2018,f,2018f,T,Finland,United Kingdom,0
2018,f,2018f,T,France,Albania,0
2018,f,2018f,T,France,Australia,0
2018,f,2018f,T,France,Austria,0
2018,f,2018f,T,France,Bulgaria,0
2018,f,2018f,T,France,Cyprus,3
2018,f,2018f,T,France,Czech Republic,0
2018,f,2018f,T,France,Denmark,2
2018,f,2018f,T,France,Estonia,7
2018,f,2018f,T,France,Finland,0
2018,f,2018f,T,France,Germany,0
2018,f,2018f,T,France,Hungary,0
2018,f,2018f,T,France,Ireland,0
2018,f,2018f,T,France,Israel,12
2018,f,2018f,T,France,Italy,1
2018,f,2018f,T,France,Lithuania,0
2018,f,2018f,T,France,Moldova,6
2018,f,2018f,T,France,Norway,0
2018,f,2018f,T,France,Portugal,8
2018,f,2018f,T,France,Serbia,1
2018,f,2018f,T,France,Slovenia,0
2018,f,2018f,T,France,Spain,5
2018,f,2018f,T,France,Sweden,0
2018,f,2018f,T,France,Netherlands,0
2018,f,2018f,T,France,Ukraine,4
2018,f,2018f,T,France,United Kingdom,0
2018,f,2018f,T,Georgia,Albania,0
2018,f,2018f,T,Georgia,Australia,0
2018,f,2018f,T,Georgia,Austria,1
2018,f,2018f,T,Georgia,Bulgaria,0
2018,f,2018f,T,Georgia,Cyprus,1
2018,f,2018f,T,Georgia,Czech Republic,0
2018,f,2018f,T,Georgia,Denmark,2
2018,f,2018f,T,Georgia,Estonia,6
2018,f,2018f,T,Georgia,Finland,0
2018,f,2018f,T,Georgia,France,4
2018,f,2018f,T,Georgia,Germany,0
2018,f,2018f,T,Georgia,Hungary,0
2018,f,2018f,T,Georgia,Ireland,0
2018,f,2018f,T,Georgia,Israel,12
2018,f,2018f,T,Georgia,Italy,5
2018,f,2018f,T,Georgia,Lithuania,7
2018,f,2018f,T,Georgia,Moldova,3
2018,f,2018f,T,Georgia,Norway,0
2018,f,2018f,T,Georgia,Portugal,0
2018,f,2018f,T,Georgia,Serbia,0
2018,f,2018f,T,Georgia,Slovenia,0
2018,f,2018f,T,Georgia,Spain,0
2018,f,2018f,T,Georgia,Sweden,0
2018,f,2018f,T,Georgia,Netherlands,0
2018,f,2018f,T,Georgia,Ukraine,8
2018,f,2018f,T,Georgia,United Kingdom,0
2018,f,2018f,T,Germany,Albania,0
2018,f,2018f,T,Germany,Australia,0
2018,f,2018f,T,Germany,Austria,5
2018,f,2018f,T,Germany,Bulgaria,0
2018,f,2018f,T,Germany,Cyprus,6
2018,f,2018f,T,Germany,Czech Republic,8
2018,f,2018f,T,Germany,Denmark,3
2018,f,2018f,T,Germany,Estonia,0
2018,f,2018f,T,Germany,Finland,0
2018,f,2018f,T,Germany,France,0
2018,f,2018f,T,Germany,Hungary,2
2018,f,2018f,T,Germany,Ireland,7
2018,f,2018f,T,Germany,Israel,1
2018,f,2018f,T,Germany,Italy,12
2018,f,2018f,T,Germany,Lithuania,4
2018,f,2018f,T,Germany,Moldova,0
2018,f,2018f,T,Germany,Norway,0
2018,f,2018f,T,Germany,Portugal,0
2018,f,2018f,T,Germany,Serbia,0
2018,f,2018f,T,Germany,Slovenia,0
2018,f,2018f,T,Germany,Spain,0
2018,f,2018f,T,Germany,Sweden,0
2018,f,2018f,T,Germany,Netherlands,0
2018,f,2018f,T,Germany,Ukraine,0
2018,f,2018f,T,Germany,United Kingdom,1
2018,f,2018f,T,Greece,Albania,1
2018,f,2018f,T,Greece,Australia,0
2018,f,2018f,T,Greece,Austria,0
2018,f,2018f,T,Greece,Bulgaria,5
2018,f,2018f,T,Greece,Cyprus,12
2018,f,2018f,T,Greece,Czech Republic,7
2018,f,2018f,T,Greece,Denmark,0
2018,f,2018f,T,Greece,Estonia,4
2018,f,2018f,T,Greece,Finland,0
2018,f,2018f,T,Greece,France,0
2018,f,2018f,T,Greece,Germany,2
2018,f,2018f,T,Greece,Hungary,0
2018,f,2018f,T,Greece,Ireland,0
2018,f,2018f,T,Greece,Israel,6
2018,f,2018f,T,Greece,Italy,8
2018,f,2018f,T,Greece,Lithuania,0
2018,f,2018f,T,Greece,Moldova,1
2018,f,2018f,T,Greece,Norway,3
2018,f,2018f,T,Greece,Portugal,0
2018,f,2018f,T,Greece,Serbia,0
2018,f,2018f,T,Greece,Slovenia,0
2018,f,2018f,T,Greece,Spain,0
2018,f,2018f,T,Greece,Sweden,0
2018,f,2018f,T,Greece,Netherlands,0
2018,f,2018f,T,Greece,Ukraine,0
2018,f,2018f,T,Greece,United Kingdom,0
2018,f,2018f,T,Hungary,Albania,0
2018,f,2018f,T,Hungary,Australia,0
2018,f,2018f,T,Hungary,Austria,3
2018,f,2018f,T,Hungary,Bulgaria,0
2018,f,2018f,T,Hungary,Cyprus,7
2018,f,2018f,T,Hungary,Czech Republic,8
2018,f,2018f,T,Hungary,Denmark,12
2018,f,2018f,T,Hungary,Estonia,0
2018,f,2018f,T,Hungary,Finland,0
2018,f,2018f,T,Hungary,France,0
2018,f,2018f,T,Hungary,Germany,1
2018,f,2018f,T,Hungary,Ireland,0
2018,f,2018f,T,Hungary,Israel,1
2018,f,2018f,T,Hungary,Italy,6
2018,f,2018f,T,Hungary,Lithuania,0
2018,f,2018f,T,Hungary,Moldova,2
2018,f,2018f,T,Hungary,Norway,5
2018,f,2018f,T,Hungary,Portugal,0
2018,f,2018f,T,Hungary,Serbia,0
2018,f,2018f,T,Hungary,Slovenia,0
2018,f,2018f,T,Hungary,Spain,0
2018,f,2018f,T,Hungary,Sweden,0
2018,f,2018f,T,Hungary,Netherlands,4
2018,f,2018f,T,Hungary,Ukraine,0
2018,f,2018f,T,Hungary,United Kingdom,0
2018,f,2018f,T,Iceland,Albania,0
2018,f,2018f,T,Iceland,Australia,0
2018,f,2018f,T,Iceland,Austria,5
2018,f,2018f,T,Iceland,Bulgaria,0
2018,f,2018f,T,Iceland,Cyprus,1
2018,f,2018f,T,Iceland,Czech Republic,1
2018,f,2018f,T,Iceland,Denmark,12
2018,f,2018f,T,Iceland,Estonia,0
2018,f,2018f,T,Iceland,Finland,3
2018,f,2018f,T,Iceland,France,6
2018,f,2018f,T,Iceland,Germany,8
2018,f,2018f,T,Iceland,Hungary,0
2018,f,2018f,T,Iceland,Ireland,0
2018,f,2018f,T,Iceland,Israel,7
2018,f,2018f,T,Iceland,Italy,0
2018,f,2018f,T,Iceland,Lithuania,0
2018,f,2018f,T,Iceland,Moldova,0
2018,f,2018f,T,Iceland,Norway,4
2018,f,2018f,T,Iceland,Portugal,0
2018,f,2018f,T,Iceland,Serbia,0
2018,f,2018f,T,Iceland,Slovenia,0
2018,f,2018f,T,Iceland,Spain,0
2018,f,2018f,T,Iceland,Sweden,2
2018,f,2018f,T,Iceland,Netherlands,0
2018,f,2018f,T,Iceland,Ukraine,0
2018,f,2018f,T,Iceland,United Kingdom,0
2018,f,2018f,T,Ireland,Albania,0
2018,f,2018f,T,Ireland,Australia,0
2018,f,2018f,T,Ireland,Austria,0
2018,f,2018f,T,Ireland,Bulgaria,0
2018,f,2018f,T,Ireland,Cyprus,5
2018,f,2018f,T,Ireland,Czech Republic,7
2018,f,2018f,T,Ireland,Denmark,2
2018,f,2018f,T,Ireland,Estonia,4
2018,f,2018f,T,Ireland,Finland,0
2018,f,2018f,T,Ireland,France,0
2018,f,2018f,T,Ireland,Germany,8
2018,f,2018f,T,Ireland,Hungary,0
2018,f,2018f,T,Ireland,Israel,6
2018,f,2018f,T,Ireland,Italy,0
2018,f,2018f,T,Ireland,Lithuania,12
2018,f,2018f,T,Ireland,Moldova,1
2018,f,2018f,T,Ireland,Norway,0
2018,f,2018f,T,Ireland,Portugal,0
2018,f,2018f,T,Ireland,Serbia,0
2018,f,2018f,T,Ireland,Slovenia,0
2018,f,2018f,T,Ireland,Spain,0
2018,f,2018f,T,Ireland,Sweden,0
2018,f,2018f,T,Ireland,Netherlands,3
2018,f,2018f,T,Ireland,Ukraine,0
2018,f,2018f,T,Ireland,United Kingdom,1
2018,f,2018f,T,Israel,Albania,0
2018,f,2018f,T,Israel,Australia,0
2018,f,2018f,T,Israel,Austria,1
2018,f,2018f,T,Israel,Bulgaria,0
2018,f,2018f,T,Israel,Cyprus,2
2018,f,2018f,T,Israel,Czech Republic,12
2018,f,2018f,T,Israel,Denmark,4
2018,f,2018f,T,Israel,Estonia,8
2018,f,2018f,T,Israel,Finland,0
2018,f,2018f,T,Israel,France,6
2018,f,2018f,T,Israel,Germany,3
2018,f,2018f,T,Israel,Hungary,0
2018,f,2018f,T,Israel,Ireland,0
2018,f,2018f,T,Israel,Italy,5
2018,f,2018f,T,Israel,Lithuania,0
2018,f,2018f,T,Israel,Moldova,1
2018,f,2018f,T,Israel,Norway,0
2018,f,2018f,T,Israel,Portugal,0
2018,f,2018f,T,Israel,Serbia,0
2018,f,2018f,T,Israel,Slovenia,0
2018,f,2018f,T,Israel,Spain,0
2018,f,2018f,T,Israel,Sweden,0
2018,f,2018f,T,Israel,Netherlands,0
2018,f,2018f,T,Israel,Ukraine,7
2018,f,2018f,T,Israel,United Kingdom,0
2018,f,2018f,T,Italy,Albania,12
2018,f,2018f,T,Italy,Australia,0
2018,f,2018f,T,Italy,Austria,0
2018,f,2018f,T,Italy,Bulgaria,0
2018,f,2018f,T,Italy,Cyprus,5
2018,f,2018f,T,Italy,Czech Republic,0
2018,f,2018f,T,Italy,Denmark,4
2018,f,2018f,T,Italy,Estonia,6
2018,f,2018f,T,Italy,Finland,0
2018,f,2018f,T,Italy,France,0
2018,f,2018f,T,Italy,Germany,3
2018,f,2018f,T,Italy,Hungary,2
2018,f,2018f,T,Italy,Ireland,0
2018,f,2018f,T,Italy,Israel,7
2018,f,2018f,T,Italy,Lithuania,0
2018,f,2018f,T,Italy,Moldova,1
2018,f,2018f,T,Italy,Norway,0
2018,f,2018f,T,Italy,Portugal,0
2018,f,2018f,T,Italy,Serbia,1
2018,f,2018f,T,Italy,Slovenia,0
2018,f,2018f,T,Italy,Spain,0
2018,f,2018f,T,Italy,Sweden,0
2018,f,2018f,T,Italy,Netherlands,0
